globalDomain,GRIBEditionNumber,tablesVersionLatest,grib2divider,is_efas,angularPrecision,missingValue,ieeeFloats,isHindcast,section0Length,identifier,discipline,editionNumber,totalLength,sectionNumber,section1Length,numberOfSection,centre,centreDescription,subCentre,tablesVersion,masterDir,localTablesVersion,localDir,localDir,significanceOfReferenceTime,year,month,day,hour,minute,second,dataDate,julianDay,dataTime,productionStatusOfProcessedData,typeOfProcessedData,md5Section1,selectStepTemplateInterval,selectStepTemplateInstant,stepType,setCalendarId,deleteCalendarId,is_uerra,sectionNumber,grib2LocalSectionPresent,deleteLocalDefinition,sectionNumber,gridDescriptionSectionPresent,section3Length,numberOfSection,sourceOfGridDefinition,numberOfDataPoints,numberOfOctectsForNumberOfPoints,interpretationOfNumberOfPoints,PLPresent,gridDefinitionTemplateNumber,gridDefinitionDescription,shapeOfTheEarth,scaleFactorOfRadiusOfSphericalEarth,scaledValueOfRadiusOfSphericalEarth,scaleFactorOfEarthMajorAxis,scaledValueOfEarthMajorAxis,scaleFactorOfEarthMinorAxis,scaledValueOfEarthMinorAxis,radius,Nx,Ny,latitudeOfFirstGridPoint,latitudeOfFirstGridPointInDegrees,longitudeOfFirstGridPoint,longitudeOfFirstGridPointInDegrees,resolutionAndComponentFlags,resolutionAndComponentFlags1,resolutionAndComponentFlags2,iDirectionIncrementGiven,jDirectionIncrementGiven,uvRelativeToGrid,resolutionAndComponentFlags6,resolutionAndComponentFlags7,resolutionAndComponentFlags8,ijDirectionIncrementGiven,LaD,LaDInDegrees,LoV,LoVInDegrees,Dx,DxInMetres,Dy,DyInMetres,projectionCentreFlag,scanningMode,iScansNegatively,jScansPositively,jPointsAreConsecutive,alternativeRowScanning,iScansPositively,scanningMode5,scanningMode6,scanningMode7,scanningMode8,Latin1,Latin1InDegrees,Latin2,Latin2InDegrees,latitudeOfSouthernPole,latitudeOfSouthernPoleInDegrees,longitudeOfSouthernPole,longitudeOfSouthernPoleInDegrees,latLonValues,latitudes,longitudes,section3Padding,gridType,md5Section3,sectionNumber,section4Length,numberOfSection,NV,neitherPresent,productDefinitionTemplateNumber,genVertHeightCoords,parameterCategory,parameterNumber,parameterUnits,parameterName,typeOfGeneratingProcess,backgroundProcess,generatingProcessIdentifier,hoursAfterDataCutoff,minutesAfterDataCutoff,indicatorOfUnitOfTimeRange,_x,stepUnits,forecastTime,startStep,endStep,stepRange,stepTypeInternal,validityDate,validityTime,typeOfFirstFixedSurface,unitsOfFirstFixedSurface,nameOfFirstFixedSurface,scaleFactorOfFirstFixedSurface,scaledValueOfFirstFixedSurface,typeOfSecondFixedSurface,unitsOfSecondFixedSurface,nameOfSecondFixedSurface,scaleFactorOfSecondFixedSurface,scaledValueOfSecondFixedSurface,pressureUnits,typeOfLevel,level,bottomLevel,topLevel,tempPressureUnits,paramIdECMF,paramId,shortNameECMF,shortName,unitsECMF,units,nameECMF,name,cfNameECMF,cfName,cfVarNameECMF,cfVarName,modelName,ifsParam,PVPresent,deletePV,md5Section4,lengthOfHeaders,md5Headers,sectionNumber,section5Length,numberOfSection,numberOfValues,dataRepresentationTemplateNumber,packingType,referenceValue,referenceValueError,binaryScaleFactor,decimalScaleFactor,optimizeScaleFactor,bitsPerValue,typeOfOriginalFieldValues,typeOfCompressionUsed,targetCompressionRatio,md5Section5,sectionNumber,section6Length,numberOfSection,bitMapIndicator,bitmapPresent,md5Section6,sectionNumber,section7Length,numberOfSection,maximum,minimum,average,numberOfMissing,standardDeviation,skewness,kurtosis,isConstant,changeDecimalPrecision,decimalPrecision,setBitsPerValue,getNumberOfValues,scaleValuesBy,offsetValuesBy,productType,md5Section7,section8Length,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,78418,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,16,196,196,196,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,10,-,Entire atmosphere ,0,0,255,unknown,Missing,0,0,hPa,atmosphere,0,0,0,hPa,0,260390,unknown,refc,unknown,dB,unknown,Maximum/Composite radar reflectivity,unknown,unknown,unknown,unknown,unknown,260390,0,1,fb53aad39ff8d35ac9c3bb7804f3396d,136,a65f696befae3271f1e501e1549f89a9,7,23,7,151987,40,grid_jpeg,-10,9.53674e-07,-4,0,0,10,0,0,255,5a9f65bd4728b9e432bb08ae607d7032,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,78233,7,41.5625,-10,-4.93872,0,8.61695,1.92741,3.58231,0,0,0,10,151987,1,0,unknown,f1eecc2ef4a325bd9384664994c06a6c,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,73242,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,19,0,m,Visibility ,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,sfc,unknown,Ground or water surface ,0,0,255,unknown,Missing,0,0,hPa,surface,0,0,0,hPa,3020,3020,vis,vis,m,m,Visibility,Visibility,unknown,unknown,vis,vis,unknown,3020,0,1,d0e91c0ab548c24eb2399930939267cd,136,179531f2850d98968f7c2d3af34e5cee,7,23,7,151987,40,grid_jpeg,0,1.17549e-38,0,-2,0,10,0,0,255,d06560e0c69ab8bf670bc480a5241a2c,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,73057,7,55500,0,11993.2,0,5609.86,0.706051,3.35092,0,-2,-2,10,151987,1,0,unknown,385ffae1ce1b4b1d48b8bbbe5c70a6f9,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,47004,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,16,195,195,195,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,sfc,m,Specified height level above ground ,0,1000,255,unknown,Missing,0,0,hPa,heightAboveGround,1000,1000,1000,hPa,0,260389,unknown,refd,unknown,dB,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown,unknown,260389,0,1,799b8e56c81349ee10f8bad94b23a9e0,136,c5cefa8c98cf88cbd71c11c422e4c575,7,23,7,151987,40,grid_jpeg,-10,9.53674e-07,-4,0,0,10,0,0,255,4d6a734109f2fb90a462e956f931b6ab,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,46819,7,40.4375,-10,-7.02851,0,7.1479,2.75668,7.89456,0,0,0,10,151987,1,0,unknown,3feaba1ba3dc1148c71e695efb8eab7d,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,27946,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,16,195,195,195,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,sfc,m,Specified height level above ground ,0,4000,255,unknown,Missing,0,0,hPa,heightAboveGround,4000,4000,4000,hPa,0,260389,unknown,refd,unknown,dB,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown,unknown,260389,0,1,9913c266c47e8ad14c59f5aaf37f52b8,136,eed8cd1437fc1e420d419cfb1b2437af,7,23,7,151987,40,grid_jpeg,-10,9.53674e-07,-4,0,0,10,0,0,255,4d6a734109f2fb90a462e956f931b6ab,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,27761,7,37.8125,-10,-8.70342,0,4.77828,5.1279,30.7761,0,0,0,10,151987,1,0,unknown,91455b1c2163c1e2632215ddb5ee22a2,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,215120,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,3,5,gpm,Geopotential height ,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,220,unknown,Planetary boundary layer,0,0,255,unknown,Missing,0,0,hPa,unknown,0,0,0,hPa,156,156,gh,gh,gpm,gpm,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh,unknown,156,0,1,d9a0bf7a7ec9cc59216aad1b2204ff59,136,593a549e9af1769b65301a9f02abac3f,7,23,7,151987,40,grid_jpeg,9.67603,9.53674e-07,-4,0,0,16,0,0,255,0b1dbadc79cf57b78877dd2c1ba99774,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,214935,7,2254.99,9.67603,435.485,0,355.046,0.814591,-0.0885652,0,0,0,16,151987,1,0,unknown,47f33e36bf15a0e2baf93403a4f570f3,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,82469,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,2,22,m s-1,Wind speed [gust] ,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,sfc,unknown,Ground or water surface ,0,0,255,unknown,Missing,0,0,hPa,surface,0,0,0,hPa,260065,260065,gust,gust,m s**-1,m s**-1,Wind speed (gust),Wind speed (gust),unknown,unknown,gust,gust,unknown,260065,0,1,dfa85a241a0ecba2958b02fc8411cfca,136,9f4b4cc0d2609f533b892dfe02201206,7,23,7,151987,40,grid_jpeg,0.285448,2.98023e-08,-4,0,0,9,0,0,255,f25f076b10801c1f9ca0f187c11ec399,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,82284,7,27.3479,0.285448,7.69447,0,3.35609,0.385059,0.112814,0,0,0,9,151987,1,0,unknown,cc200fb01a6877ff5066df0e7671e798,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,52379,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,16,3,3,3,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,200,considered as a single layer,Entire atmosphere ,0,0,255,unknown,Missing,0,0,hPa,unknown,0,0,0,hPa,0,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,d61dc543845dad44f26cae990f2bc4e3,136,074e3c0a17cbe42b8d298a652dba5d61,7,23,7,151987,40,grid_jpeg,-50000,0.00390625,2,1,0,15,0,0,255,f4cbdf0764c9ed20c631c1c7f4dda40e,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,52194,7,7688,-5000,-4142.58,0,2532.54,2.81516,6.40029,0,1,1,15,151987,1,0,unknown,b09b408d960a2ef5e27fb4f5e1deda87,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,54270,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,3,5,gpm,Geopotential height ,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,pl,Pa,Isobaric surface ,0,10000,255,unknown,Missing,0,0,hPa,isobaricInhPa,100,100,100,hPa,156,156,gh,gh,gpm,gpm,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh,unknown,156,0,1,2345d74ffe3c93a8f8e04a9812d6186f,136,4acd99ff20be114557f4fa974d2746d2,7,23,7,151987,40,grid_jpeg,15455.1,0.000976562,-5,0,0,16,0,0,255,b6717f552057678477e3edb559d9fe9b,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,54085,7,16569.9,15455.1,16219.6,0,277.291,-0.688824,-0.514746,0,0,0,16,151987,1,0,unknown,93056c04738f80ffbdce19e28a06746c,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,31187,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,0,0,K,Temperature ,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,pl,Pa,Isobaric surface ,0,10000,255,unknown,Missing,0,0,hPa,isobaricInhPa,100,100,100,hPa,130,130,t,t,K,K,Temperature,Temperature,air_temperature,air_temperature,t,t,unknown,130,0,1,d5c57d1fc98c2cd20c9cb2533dbb06e7,136,e93d200dcf065f42ee6fb0b035b9c87d,7,23,7,151987,40,grid_jpeg,194.241,1.52588e-05,-4,0,0,9,0,0,255,390c4ecf55ad08768e370524c3aecc2d,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,31002,7,221.178,194.241,209.128,0,7.51257,-0.0941049,-1.47799,0,0,0,9,151987,1,0,unknown,22ceedd20fc9e854be63b819057990c6,4,7777,
g,2,20,1e+06,0,1e+06,9999,1,0,16,GRIB,0,2,21925,7,21,7,kwbc,US National Weather Service - NCEP ,0,2,grib2/tables/[tablesVersion],1,grib2/tables/local/[centre]/[localTablesVersion],grib2/tables/local/[centre]/[localTablesVersion],1,2016,12,25,0,0,0,20161225,2.45775e+06,0000,0,fc,60c8bbb3c05b867d141a6806bcbcce1c,1,1,instant,0,0,0,7,0,0,7,1,81,7,0,151987,0,0,0,30,"Lambert Conformal can be secant or tangent, conical or bipolar",6,0,0,0,0,0,0,6.37123e+06,451,337,16281000,16.281,233862000,233.862,56,0,0,1,1,1,0,0,0,1,25000000,25,265000000,265,13545000,13545,13545000,13545,0,64,0,1,0,0,1,0,0,0,0,25000000,25,25000000,25,0,0,0,0,0,0,0,,lambert,d360293e944108570823fd479f9ca0c1,7,34,7,0,0,0,0,1,1,%,Relative humidity ,2,0,105,0,0,h,_x,h,6,6,6,6,instant,20161225,600,pl,Pa,Isobaric surface ,0,10000,255,unknown,Missing,0,0,hPa,isobaricInhPa,100,100,100,hPa,157,157,r,r,%,%,Relative humidity,Relative humidity,relative_humidity,relative_humidity,r,r,unknown,157,0,1,396c82f40aadfba97a48d1f96e35cf0a,136,5b4017c8ee93bcbc4d2334c5096ee2dd,7,23,7,151987,40,grid_jpeg,0.751968,5.96046e-08,-3,0,0,8,0,0,255,c71dd600dec529a5d4828eed7ae2b4a5,7,6,7,255,0,01522c0fd43e4befb347e7995baa0167,7,21740,7,24.627,0.751968,4.65366,0,3.99549,1.26511,1.26631,0,0,0,8,151987,1,0,unknown,37919a771119737f6382de183be6a847,4,7777,
