time_str,time_seconds,wban_id,name,state,county,knots,gust_knots,lat,lon
2007-07-01 08:08:00 UTC,1183277280,23187,SANDBERG,CA,LOS ANGELES,30,40,34.7436,-118.7253
2007-07-01 08:48:00 UTC,1183279680,23187,SANDBERG,CA,LOS ANGELES,34,42,34.7436,-118.7253
2007-07-01 08:49:00 UTC,1183279740,23187,SANDBERG,CA,LOS ANGELES,35,40,34.7436,-118.7253
2007-07-01 15:49:00 UTC,1183304940,12958,NEW ORLEANS ALVIN CALLENDER FIELD,LA,JEFFERSON,18,41,29.8167,-90.0167
2007-07-01 18:10:00 UTC,1183313400,14898,GREEN BAY AUSTIN STRAUBEL INTL AP,WI,BROWN,14,46,44.4794,-88.1378
2007-07-01 19:27:00 UTC,1183318020,93846,ANDERSON COUNTY AP,SC,ANDERSON,23,42,34.4977,-82.7097
2007-07-01 20:29:00 UTC,1183321740,13839,DOTHAN REGIONAL AP,AL,DALE,17,42,31.3214,-85.4497
2007-07-01 20:30:00 UTC,1183321800,13839,DOTHAN REGIONAL AP,AL,DALE,26,43,31.3214,-85.4497
2007-07-01 20:32:00 UTC,1183321920,13839,DOTHAN REGIONAL AP,AL,DALE,33,51,31.3214,-85.4497
2007-07-01 20:33:00 UTC,1183321980,13839,DOTHAN REGIONAL AP,AL,DALE,35,48,31.3214,-85.4497
2007-07-01 20:34:00 UTC,1183322040,13839,DOTHAN REGIONAL AP,AL,DALE,38,49,31.3214,-85.4497
2007-07-02 00:32:00 UTC,1183336320,24024,PHILIP AIRPORT,SD,HAAKON,34,43,44.0511,-101.6011
2007-07-02 00:33:00 UTC,1183336380,24024,PHILIP AIRPORT,SD,HAAKON,33,40,44.0511,-101.6011
2007-07-02 00:39:00 UTC,1183336740,24024,PHILIP AIRPORT,SD,HAAKON,29,40,44.0511,-101.6011
2007-07-02 00:40:00 UTC,1183336800,24024,PHILIP AIRPORT,SD,HAAKON,36,47,44.0511,-101.6011
2007-07-02 00:42:00 UTC,1183336920,24024,PHILIP AIRPORT,SD,HAAKON,32,45,44.0511,-101.6011
2007-07-02 00:45:00 UTC,1183337100,24024,PHILIP AIRPORT,SD,HAAKON,29,40,44.0511,-101.6011
2007-07-02 00:47:00 UTC,1183337220,24024,PHILIP AIRPORT,SD,HAAKON,35,43,44.0511,-101.6011
2007-07-02 00:48:00 UTC,1183337280,24024,PHILIP AIRPORT,SD,HAAKON,35,40,44.0511,-101.6011
2007-07-02 00:54:00 UTC,1183337640,23078,DEMING MUNICIPAL AP,NM,LUNA,26,44,32.2622,-107.7206
2007-07-02 00:55:00 UTC,1183337700,23078,DEMING MUNICIPAL AP,NM,LUNA,37,48,32.2622,-107.7206
