time_str,time_seconds,wban_id,name,state,county,knots,gust_knots,lat,lon
2013-06-01 05:05:00 UTC,1370063100,14835,LAFAYETTE PURDUE UNIVERSITY AP,IN,TIPPECANOE,25,41,40.4122,-86.9369
2013-06-01 06:21:00 UTC,1370067660,53922,FAYETTEVILLE SPRINGDALE NW AR REGL AP,AR,BENTON,20,44,36.2833,-94.3
2013-06-01 06:22:00 UTC,1370067720,53922,FAYETTEVILLE SPRINGDALE NW AR REGL AP,AR,BENTON,26,41,36.2833,-94.3
2013-06-01 06:41:00 UTC,1370068860,93993,FAYETTEVILLE DRAKE FIELD,AR,WASHINGTON,29,43,36.0097,-94.1694
2013-06-01 06:42:00 UTC,1370068920,93993,FAYETTEVILLE DRAKE FIELD,AR,WASHINGTON,33,40,36.0097,-94.1694
2013-06-01 06:51:00 UTC,1370069460,53922,FAYETTEVILLE SPRINGDALE NW AR REGL AP,AR,BENTON,33,45,36.2833,-94.3
2013-06-01 07:04:00 UTC,1370070240,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,25,40,41.15,-104.8167
2013-06-01 07:57:00 UTC,1370073420,94054,BUFFALO JOHNSON COUNTY AP,WY,JOHNSON,28,41,44.3814,-106.7211
2013-06-01 08:04:00 UTC,1370073840,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,27,40,41.15,-104.8167
2013-06-01 08:05:00 UTC,1370073900,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,29,40,41.15,-104.8167
2013-06-01 14:26:00 UTC,1370096760,03953,JONESBORO MUNICIPAL AP,AR,CRAIGHEAD,27,40,35.8311,-90.6464
2013-06-01 15:24:00 UTC,1370100240,94946,BROKEN BOW MUNICIPAL AP,NE,CUSTER,29,40,41.4333,-99.6333
2013-06-01 15:30:00 UTC,1370100600,94946,BROKEN BOW MUNICIPAL AP,NE,CUSTER,30,41,41.4333,-99.6333
2013-06-01 15:37:00 UTC,1370101020,94946,BROKEN BOW MUNICIPAL AP,NE,CUSTER,32,40,41.4333,-99.6333
2013-06-02 01:48:00 UTC,1370137680,12924,CORPUS CHRISTI INTL AP,TX,NUECES,13,51,27.7742,-97.5122
2013-06-02 02:38:00 UTC,1370140680,13942,MONROE REGIONAL AP,LA,OUACHITA,27,40,32.5155,-92.0405
2013-06-02 02:50:00 UTC,1370141400,13874,ATLANTA HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,GA,FULTON,8,48,33.6301,-84.4418
2013-06-02 08:26:00 UTC,1370161560,23055,PINE SPRINGS GUADALUPE MOUNTAINS NP,TX,CULBERSON,31,40,31.8327,-104.809
2013-06-02 13:27:00 UTC,1370179620,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,30,43,29.2733,-94.8592
2013-06-02 13:28:00 UTC,1370179680,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,38,45,29.2733,-94.8592
2013-06-02 13:29:00 UTC,1370179740,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,38,41,29.2733,-94.8592
2013-06-02 13:30:00 UTC,1370179800,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,39,46,29.2733,-94.8592
2013-06-02 13:31:00 UTC,1370179860,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,41,46,29.2733,-94.8592
2013-06-02 13:32:00 UTC,1370179920,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,34,42,29.2733,-94.8592
2013-06-02 13:33:00 UTC,1370179980,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,34,48,29.2733,-94.8592
2013-06-02 13:35:00 UTC,1370180100,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,35,44,29.2733,-94.8592
2013-06-02 13:36:00 UTC,1370180160,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,36,50,29.2733,-94.8592
2013-06-02 13:37:00 UTC,1370180220,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,37,50,29.2733,-94.8592
2013-06-02 13:38:00 UTC,1370180280,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,38,50,29.2733,-94.8592
2013-06-02 13:39:00 UTC,1370180340,12923,GALVESTON SCHOLES FIELD,TX,GALVESTON,37,52,29.2733,-94.8592
2013-06-02 16:35:00 UTC,1370190900,93110,OXNARD VENTURA COUNTY AP,CA,VENTURA,12,43,34.2008,-119.2069
2013-06-02 16:40:00 UTC,1370191200,93110,OXNARD VENTURA COUNTY AP,CA,VENTURA,18,45,34.2008,-119.2069
2013-06-02 16:41:00 UTC,1370191260,93110,OXNARD VENTURA COUNTY AP,CA,VENTURA,23,42,34.2008,-119.2069
2013-06-02 18:36:00 UTC,1370198160,04725,BINGHAMTON (GREATER AP),NY,BROOME,19,41,42.2068,-75.98
2013-06-02 18:37:00 UTC,1370198220,04725,BINGHAMTON (GREATER AP),NY,BROOME,29,40,42.2068,-75.98
2013-06-02 19:32:00 UTC,1370201520,14753,BLUE HILL LCD,MA,NORFOLK,26,40,42.2123,-71.1137
2013-06-02 19:36:00 UTC,1370201760,54728,WHITEFIELD MT WASHINGTON REGIONAL AP,NH,COOS,30,41,44.3675,-71.545
2013-06-02 20:25:00 UTC,1370204700,54772,FRYEBURG EASTERN SLOPES REGL AP,ME,OXFORD,23,41,43.9906,-70.9475
2013-06-02 20:26:00 UTC,1370204760,54772,FRYEBURG EASTERN SLOPES REGL AP,ME,OXFORD,24,40,43.9906,-70.9475
