begin_time_str,begin_time_seconds,end_time_str,end_time_seconds,f_scale,length,width,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,begin_lat,begin_lon,end_lat,end_lon
2014-01-11 12:37:00 UTC,1389443820,2014-01-11 12:41:00 UTC,1389444060,0,2.9,10,0,0,0,0,34.3328,-84.5286,34.3476,-84.4811
2014-01-11 20:32:00 UTC,1389472320,2014-01-11 20:34:00 UTC,1389472440,0,1.36,100,0,0,0,0,37.025,-76.6377,37.0354,-76.6167
2014-01-11 20:32:00 UTC,1389472320,2014-01-11 20:35:00 UTC,1389472500,0,1.95,50,0,0,0,0,36.8769,-76.6721,36.8902,-76.6409
2014-01-11 20:50:00 UTC,1389473400,2014-01-11 20:53:00 UTC,1389473580,0,1.08,75,0,0,0,0,37.08,-76.3,37.09,-76.285
2014-02-20 20:25:00 UTC,1392927900,2014-02-20 20:35:00 UTC,1392928500,2,12.09,80,1,0,0,0,39.518,-90.841,39.633,-90.67
2014-02-20 20:48:00 UTC,1392929280,2014-02-20 20:49:00 UTC,1392929340,0,0.27,25,0,0,0,0,39.7853,-90.4215,39.788,-90.4178
2014-02-20 20:52:00 UTC,1392929520,2014-02-20 20:59:00 UTC,1392929940,0,7.25,50,0,0,0,0,39.8193,-90.4178,39.8743,-90.3015
2014-02-20 20:59:00 UTC,1392929940,2014-02-20 21:00:00 UTC,1392930000,0,0.92,25,0,0,0,0,39.8743,-90.3015,39.8832,-90.2887
2014-02-20 21:43:00 UTC,1392932580,2014-02-20 21:44:00 UTC,1392932640,0,0.22,75,0,0,0,0,39.5671,-89.6256,39.568,-89.6216
2014-02-20 21:57:00 UTC,1392933420,2014-02-20 21:58:00 UTC,1392933480,1,1.06,50,0,0,0,0,38.7575,-89.6151,38.7651,-89.598
2014-02-20 21:57:00 UTC,1392933420,2014-02-20 22:06:00 UTC,1392933960,1,8.25,300,0,0,0,0,39.7648,-89.391,39.8562,-89.291
2014-02-20 21:58:00 UTC,1392933480,2014-02-20 22:12:00 UTC,1392934320,1,11.25,50,0,0,0,0,38.7651,-89.598,38.8432,-89.4147
2014-02-20 22:09:00 UTC,1392934140,2014-02-20 22:14:00 UTC,1392934440,1,6.3,50,0,0,0,0,39.2586,-89.234,39.3132,-89.1396
2014-02-20 22:14:00 UTC,1392934440,2014-02-20 22:19:00 UTC,1392934740,0,3.77,50,0,0,0,0,39.3132,-89.1396,39.3471,-89.0844
2014-02-20 22:19:00 UTC,1392934740,2014-02-20 22:25:00 UTC,1392935100,1,4.77,100,0,0,0,0,39.3471,-89.0844,39.399,-89.0256
2014-02-20 22:25:00 UTC,1392935100,2014-02-20 22:33:00 UTC,1392935580,2,7.54,200,1,0,0,0,39.399,-89.0256,39.4689,-88.917
2014-02-20 22:36:00 UTC,1392935760,2014-02-20 22:42:00 UTC,1392936120,1,4.8,50,0,0,0,0,39.0158,-88.998,39.0627,-88.932
2014-02-20 22:39:00 UTC,1392935940,2014-02-20 22:40:00 UTC,1392936000,1,0.24,70,5,0,0,0,36.1895,-89.8812,36.1912,-89.8774
2014-02-20 22:40:00 UTC,1392936000,2014-02-20 22:41:00 UTC,1392936060,0,0.28,50,0,0,0,0,39.5176,-88.8109,39.5201,-88.8067
2014-02-20 22:40:00 UTC,1392936000,2014-02-20 22:41:00 UTC,1392936060,1,0.39,50,0,0,0,0,37.6987,-89.3713,37.7016,-89.3651
2014-02-20 22:41:00 UTC,1392936060,2014-02-20 22:42:00 UTC,1392936120,1,0.04,25,0,0,0,0,36.2349,-89.8029,36.2351,-89.8023
2014-02-20 22:54:00 UTC,1392936840,2014-02-20 22:56:00 UTC,1392936960,1,1.54,100,0,0,0,0,39.1784,-88.7233,39.1953,-88.7045
2014-02-20 23:43:00 UTC,1392939780,2014-02-20 23:46:00 UTC,1392939960,0,3.0,75,0,0,0,0,39.7821,-87.7409,39.8195,-87.7123
2014-02-21 00:40:00 UTC,1392943200,2014-02-21 00:48:00 UTC,1392943680,0,7.48,40,0,0,0,0,40.0044,-86.8666,40.0899,-86.78
2014-02-21 00:42:00 UTC,1392943320,2014-02-21 00:50:00 UTC,1392943800,0,6.22,125,0,0,0,0,37.48,-87.8974,37.5524,-87.83
2014-02-21 01:11:00 UTC,1392945060,2014-02-21 01:12:00 UTC,1392945120,0,0.45,40,0,0,0,0,31.0737,-90.0019,31.08,-90
2014-02-21 01:12:00 UTC,1392945120,2014-02-21 01:14:00 UTC,1392945240,0,1.59,125,0,0,0,0,37.1,-87.75,37.116,-87.7293
2014-02-21 01:48:00 UTC,1392947280,2014-02-21 01:49:00 UTC,1392947340,0,0.52,50,0,0,0,0,31.253,-89.77,31.26,-89.767
2014-02-21 02:32:00 UTC,1392949920,2014-02-21 02:32:00 UTC,1392949920,0,0.04,25,0,0,0,0,39.656,-85.5679,39.656,-85.5679
2014-02-21 02:33:00 UTC,1392949980,2014-02-21 02:35:00 UTC,1392950100,1,2.65,75,0,0,0,0,30.6913,-92.3903,30.6987,-92.3465
2014-02-21 02:45:00 UTC,1392950700,2014-02-21 02:52:00 UTC,1392951120,1,5.66,450,0,0,0,0,34.6889,-87.2589,34.7662,-87.226
2014-02-21 02:51:00 UTC,1392951060,2014-02-21 02:53:00 UTC,1392951180,1,1.82,400,0,0,0,0,34.7858,-87.315,34.8021,-87.2899
2014-02-21 02:52:00 UTC,1392951120,2014-02-21 03:00:00 UTC,1392951600,1,5.06,450,0,0,0,0,34.7662,-87.226,34.8223,-87.1687
