begin_time_str,begin_time_seconds,end_time_str,end_time_seconds,f_scale,begin_lat,begin_lon,end_lat,end_lon
1998-01-04 20:59:00 UTC,883947540,1998-01-04 21:01:00 UTC,883947660,0,31.32,-97.07,31.32,-97.07
1998-01-05 13:00:00 UTC,884005200,1998-01-05 13:00:00 UTC,884005200,0,46.00,-123.92,46.00,-123.92
1998-01-05 18:00:00 UTC,884023200,1998-01-05 18:00:00 UTC,884023200,0,31.27,-98.65,31.27,-98.65
1998-01-05 18:00:00 UTC,884023200,1998-01-05 18:00:00 UTC,884023200,0,31.30,-98.57,31.30,-98.57
1998-01-05 18:52:00 UTC,884026320,1998-01-05 18:55:00 UTC,884026500,1,31.50,-98.50,31.50,-98.50
1998-01-05 19:15:00 UTC,884027700,1998-01-05 19:16:00 UTC,884027760,0,31.92,-98.03,31.92,-98.03
1998-01-05 22:52:00 UTC,884040720,1998-01-05 23:01:00 UTC,884041260,2,32.23,-95.35,32.28,-95.30
1998-01-05 23:34:00 UTC,884043240,1998-01-05 23:46:00 UTC,884043960,0,32.47,-95.17,32.55,-95.10
1998-01-06 00:08:00 UTC,884045280,1998-01-06 00:13:00 UTC,884045580,0,32.68,-94.90,32.70,-94.88
1998-01-07 01:45:00 UTC,884137500,1998-01-07 01:45:00 UTC,884137500,0,30.27,-89.80,30.27,-89.80
1998-01-07 10:15:00 UTC,884168100,1998-01-07 10:16:00 UTC,884168160,0,30.38,-86.52,30.38,-86.52
1998-01-07 12:45:00 UTC,884177100,1998-01-07 12:46:00 UTC,884177160,1,35.48,-85.95,35.52,-85.97
1998-01-07 21:10:00 UTC,884207400,1998-01-07 21:15:00 UTC,884207700,2,34.80,-82.60,34.83,-82.60
1998-01-08 09:01:00 UTC,884250060,1998-01-08 09:02:00 UTC,884250120,1,34.23,-77.93,34.23,-77.93
1998-01-08 20:15:00 UTC,884290500,1998-01-08 20:15:00 UTC,884290500,0,25.77,-80.20,25.77,-80.20
1998-01-08 23:50:00 UTC,884303400,1998-01-08 23:57:00 UTC,884303820,2,39.22,-81.42,39.23,-81.45
1998-01-09 01:20:00 UTC,884308800,1998-01-09 01:35:00 UTC,884309700,1,39.80,-80.78,39.92,-80.65
1998-01-09 14:00:00 UTC,884354400,1998-01-09 14:15:00 UTC,884355300,1,33.78,-118.17,33.78,-118.17
1998-01-11 15:59:00 UTC,884534340,1998-01-11 16:17:00 UTC,884535420,1,33.12,-95.05,33.10,-94.92
1998-01-11 16:04:00 UTC,884534640,1998-01-11 16:22:00 UTC,884535720,1,33.07,-94.93,33.07,-94.85
1998-01-11 16:22:00 UTC,884535720,1998-01-11 16:26:00 UTC,884535960,0,33.10,-94.82,33.08,-94.82
1998-01-11 16:30:00 UTC,884536200,1998-01-11 16:38:00 UTC,884536680,1,30.15,-96.93,30.20,-96.92
1998-01-11 17:07:00 UTC,884538420,1998-01-11 17:30:00 UTC,884539800,1,33.02,-94.20,33.05,-94.00
1998-01-11 17:10:00 UTC,884538600,1998-01-11 17:14:00 UTC,884538840,1,30.20,-96.92,30.22,-96.90
1998-01-11 17:23:00 UTC,884539380,1998-01-11 17:36:00 UTC,884540160,0,33.05,-94.02,33.08,-93.97
1998-01-11 17:32:00 UTC,884539920,1998-01-11 17:46:00 UTC,884540760,0,33.05,-93.97,33.07,-93.93
1998-01-11 17:33:00 UTC,884539980,1998-01-11 17:42:00 UTC,884540520,0,33.03,-93.90,33.03,-93.82
1998-01-11 17:42:00 UTC,884540520,1998-01-11 17:46:00 UTC,884540760,0,33.07,-93.85,33.08,-93.83
1998-01-12 00:11:00 UTC,884563860,1998-01-12 00:14:00 UTC,884564040,0,31.62,-93.30,31.58,-93.28
1998-01-12 03:00:00 UTC,884574000,1998-01-12 03:05:00 UTC,884574300,1,30.75,-92.42,30.75,-92.42
1998-01-12 04:45:00 UTC,884580300,1998-01-12 04:45:00 UTC,884580300,0,30.38,-93.37,30.38,-93.37
1998-01-21 14:56:00 UTC,885394560,1998-01-21 14:58:00 UTC,885394680,0,30.35,-96.85,30.35,-96.85
1998-01-21 15:07:00 UTC,885395220,1998-01-21 15:09:00 UTC,885395340,0,30.50,-96.90,30.50,-96.90
1998-01-21 15:09:00 UTC,885395340,1998-01-21 15:14:00 UTC,885395640,1,30.35,-96.82,30.35,-96.80
1998-01-21 15:12:00 UTC,885395520,1998-01-21 15:15:00 UTC,885395700,0,30.48,-97.00,30.48,-97.00
1998-01-21 15:40:00 UTC,885397200,1998-01-21 15:41:00 UTC,885397260,0,28.78,-96.67,28.78,-96.67
1998-01-21 16:35:00 UTC,885400500,1998-01-21 16:36:00 UTC,885400560,0,31.07,-96.15,31.07,-96.15
1998-01-21 16:44:00 UTC,885401040,1998-01-21 16:50:00 UTC,885401400,0,30.48,-96.23,30.47,-96.18
1998-01-21 17:25:00 UTC,885403500,1998-01-21 17:28:00 UTC,885403680,0,31.07,-95.93,31.10,-95.88
1998-01-21 17:28:00 UTC,885403680,1998-01-21 17:32:00 UTC,885403920,1,31.10,-95.97,31.10,-95.97
1998-01-21 17:29:00 UTC,885403740,1998-01-21 17:31:00 UTC,885403860,0,30.53,-95.85,30.53,-95.83
1998-01-21 17:34:00 UTC,885404040,1998-01-21 17:46:00 UTC,885404760,0,30.55,-95.83,30.55,-95.68
1998-01-21 17:49:00 UTC,885404940,1998-01-21 18:10:00 UTC,885406200,1,30.53,-95.67,30.53,-95.62
1998-01-22 18:30:00 UTC,885493800,1998-01-30 18:30:00 UTC,886185000,0,31.80,-82.67,31.80,-82.67
1998-01-23 08:15:00 UTC,885543300,1998-01-23 08:15:00 UTC,885543300,0,26.92,-82.32,26.92,-82.32
1998-01-23 09:15:00 UTC,885546900,1998-01-23 09:15:00 UTC,885546900,0,27.00,-82.07,27.00,-82.07
1998-01-23 09:25:00 UTC,885547500,1998-01-23 09:30:00 UTC,885547800,0,28.07,-82.47,28.08,-82.47
1998-01-23 09:45:00 UTC,885548700,1998-01-23 09:45:00 UTC,885548700,0,27.57,-81.52,27.57,-81.52
1998-01-29 11:12:00 UTC,886072320,1998-01-29 11:16:00 UTC,886072560,1,33.05,-117.30,33.05,-117.30
1998-02-02 18:47:00 UTC,886445220,1998-02-02 18:50:00 UTC,886445400,1,24.70,-81.08,24.70,-81.08
1998-02-02 19:10:00 UTC,886446600,1998-02-02 19:15:00 UTC,886446900,0,24.92,-80.63,24.92,-80.63
1998-02-02 19:45:00 UTC,886448700,1998-02-02 19:45:00 UTC,886448700,0,28.33,-82.27,28.33,-82.27
1998-02-02 20:22:00 UTC,886450920,1998-02-02 20:34:00 UTC,886451640,2,25.80,-80.28,25.93,-80.27
1998-02-02 20:34:00 UTC,886451640,1998-02-02 20:44:00 UTC,886452240,1,25.87,-80.35,26.08,-80.20
1998-02-02 21:50:00 UTC,886456200,1998-02-02 22:00:00 UTC,886456800,1,26.97,-81.13,26.97,-81.13
1998-02-02 23:30:00 UTC,886462200,1998-02-02 23:30:00 UTC,886462200,0,27.30,-80.33,27.30,-80.33
