begin_time_str,begin_time_seconds,end_time_str,end_time_seconds,f_scale,begin_lat,begin_lon,end_lat,end_lon
2018-01-13 03:02:00 +0000,1515812520,2018-01-13 03:02:00 +0000,1515812520,-1,37.45,-78,37.45,-78
2018-01-22 00:59:00 +0000,1516582740,2018-01-22 00:59:00 +0000,1516582740,-1,35.11,-94.26,35.11,-94.26
2018-01-22 01:42:00 +0000,1516585320,2018-01-22 01:42:00 +0000,1516585320,-1,35.42,-93.92,35.42,-93.92
2018-01-22 02:04:00 +0000,1516586640,2018-01-22 02:04:00 +0000,1516586640,-1,37.05,-93.82,37.05,-93.82
2018-01-22 02:15:00 +0000,1516587300,2018-01-22 02:15:00 +0000,1516587300,-1,32.99,-95.33,32.99,-95.33
2018-01-22 03:26:00 +0000,1516591560,2018-01-22 03:26:00 +0000,1516591560,-1,33.5,-94.59,33.5,-94.59
2018-01-22 03:43:00 +0000,1516592580,2018-01-22 03:43:00 +0000,1516592580,-1,33.57,-94.51,33.57,-94.51
2018-01-22 03:48:00 +0000,1516592880,2018-01-22 03:48:00 +0000,1516592880,-1,33.62,-94.45,33.62,-94.45
2018-01-22 06:53:00 +0000,1516603980,2018-01-22 06:53:00 +0000,1516603980,-1,35.19,-92.36,35.19,-92.36
2018-01-22 07:12:00 +0000,1516605120,2018-01-22 07:12:00 +0000,1516605120,-1,38.51,-90.82,38.51,-90.82
2018-01-22 08:10:00 +0000,1516608600,2018-01-22 08:10:00 +0000,1516608600,-1,30.76,-93.89,30.76,-93.89
2018-01-22 08:23:00 +0000,1516609380,2018-01-22 08:23:00 +0000,1516609380,-1,31.19,-93.34,31.19,-93.34
2018-01-22 15:16:00 +0000,1516634160,2018-01-22 15:16:00 +0000,1516634160,-1,31.74,-89.48,31.74,-89.48
2018-01-22 15:21:00 +0000,1516634460,2018-01-22 15:21:00 +0000,1516634460,-1,31.77,-89.44,31.77,-89.44
2018-01-22 15:29:00 +0000,1516634940,2018-01-22 15:29:00 +0000,1516634940,-1,31.79,-89.37,31.79,-89.37
2018-01-26 00:40:00 +0000,1516927200,2018-01-26 00:40:00 +0000,1516927200,-1,40.81,-124.16,40.81,-124.16
2018-02-07 09:48:00 +0000,1517996880,2018-02-07 09:48:00 +0000,1517996880,-1,30.96,-93.02,30.96,-93.02
2018-02-07 10:15:00 +0000,1517998500,2018-02-07 10:15:00 +0000,1517998500,-1,32.4,-88.91,32.4,-88.91
2018-02-07 11:11:00 +0000,1518001860,2018-02-07 11:11:00 +0000,1518001860,-1,32.45,-88.3,32.45,-88.3
2018-02-07 11:44:00 +0000,1518003840,2018-02-07 11:44:00 +0000,1518003840,-1,32.47,-87.79,32.47,-87.79
2018-02-07 11:51:00 +0000,1518004260,2018-02-07 11:51:00 +0000,1518004260,-1,32.95,-86.92,32.95,-86.92
2018-02-07 11:57:00 +0000,1518004620,2018-02-07 11:57:00 +0000,1518004620,-1,32.5,-87.72,32.5,-87.72
2018-02-07 12:03:00 +0000,1518004980,2018-02-07 12:03:00 +0000,1518004980,-1,32.96,-86.78,32.96,-86.78
2018-02-07 12:44:00 +0000,1518007440,2018-02-07 12:44:00 +0000,1518007440,-1,33.72,-85.15,33.72,-85.15
2018-02-07 13:04:00 +0000,1518008640,2018-02-07 13:04:00 +0000,1518008640,-1,32.56,-86.72,32.56,-86.72
2018-02-07 13:16:00 +0000,1518009360,2018-02-07 13:16:00 +0000,1518009360,-1,32.01,-87.91,32.01,-87.91
2018-02-07 14:07:00 +0000,1518012420,2018-02-07 14:07:00 +0000,1518012420,-1,33.21,-85.13,33.21,-85.13
2018-02-07 16:10:00 +0000,1518019800,2018-02-07 16:10:00 +0000,1518019800,-1,32.6,-84.51,32.6,-84.51
2018-02-10 22:50:00 +0000,1518303000,2018-02-10 22:50:00 +0000,1518303000,-1,32.81,-89.12,32.81,-89.12
