begin_time_str,begin_time_seconds,end_time_str,end_time_seconds,id,name,status,knots,max_radius_34_knot_winds_nmiles,begin_lat,begin_lon,end_lat,end_lon
2018-05-10 12:00:00 UTC,1525953600,2018-05-10 18:00:00 UTC,1525975200,EP012018,ONE,TD,30,0,12.1,-125.4,12.3,-126.2
2018-05-10 18:00:00 UTC,1525975200,2018-05-11 00:00:00 UTC,1525996800,EP012018,ONE,TD,30,0,12.3,-126.2,12.4,-127.1
2018-05-11 00:00:00 UTC,1525996800,2018-05-11 06:00:00 UTC,1526018400,EP012018,ONE,TD,30,0,12.4,-127.1,12.5,-128.0
2018-05-11 06:00:00 UTC,1526018400,2018-05-11 12:00:00 UTC,1526040000,EP012018,ONE,TD,30,0,12.5,-128.0,12.6,-128.7
2018-05-11 12:00:00 UTC,1526040000,2018-05-11 18:00:00 UTC,1526061600,EP012018,ONE,TD,30,0,12.6,-128.7,12.7,-129.3
2018-05-11 18:00:00 UTC,1526061600,2018-05-12 00:00:00 UTC,1526083200,EP012018,ONE,LO,25,0,12.7,-129.3,12.8,-129.8
2018-05-12 00:00:00 UTC,1526083200,2018-05-12 06:00:00 UTC,1526104800,EP012018,ONE,LO,25,0,12.8,-129.8,13.0,-130.1
2018-05-12 06:00:00 UTC,1526104800,2018-05-12 12:00:00 UTC,1526126400,EP012018,ONE,LO,25,0,13.0,-130.1,13.2,-130.3
2018-05-12 12:00:00 UTC,1526126400,2018-05-12 18:00:00 UTC,1526148000,EP012018,ONE,LO,25,0,13.2,-130.3,13.3,-130.4
2018-05-12 18:00:00 UTC,1526148000,2018-05-13 00:00:00 UTC,1526169600,EP012018,ONE,LO,20,0,13.3,-130.4,13.4,-130.3
2018-05-13 00:00:00 UTC,1526169600,2018-05-13 06:00:00 UTC,1526191200,EP012018,ONE,LO,20,0,13.4,-130.3,13.5,-130.2
2018-05-13 06:00:00 UTC,1526191200,2018-05-13 12:00:00 UTC,1526212800,EP012018,ONE,LO,20,0,13.5,-130.2,13.4,-130.1
2018-05-25 12:00:00 UTC,1527249600,2018-05-25 18:00:00 UTC,1527271200,AL012018,ALBERTO,SD,30,0,18.8,-87.1,18.7,-86.5
2018-05-25 18:00:00 UTC,1527271200,2018-05-26 00:00:00 UTC,1527292800,AL012018,ALBERTO,SD,30,0,18.7,-86.5,18.9,-85.9
2018-05-26 00:00:00 UTC,1527292800,2018-05-26 06:00:00 UTC,1527314400,AL012018,ALBERTO,SD,30,0,18.9,-85.9,19.6,-85.7
2018-05-26 06:00:00 UTC,1527314400,2018-05-26 12:00:00 UTC,1527336000,AL012018,ALBERTO,SD,30,0,19.6,-85.7,21.3,-85.6
2018-05-26 12:00:00 UTC,1527336000,2018-05-26 18:00:00 UTC,1527357600,AL012018,ALBERTO,SD,35,120,21.3,-85.6,22.6,-85.3
2018-05-26 18:00:00 UTC,1527357600,2018-05-27 00:00:00 UTC,1527379200,AL012018,ALBERTO,SS,35,120,22.6,-85.3,23.6,-84.8
2018-05-27 00:00:00 UTC,1527379200,2018-05-27 06:00:00 UTC,1527400800,AL012018,ALBERTO,SS,35,120,23.6,-84.8,24.9,-84.3
2018-05-27 06:00:00 UTC,1527400800,2018-05-27 12:00:00 UTC,1527422400,AL012018,ALBERTO,SS,40,120,24.9,-84.3,26.6,-84.4
